TEXAS	4
NORTH_CAROLINA	4
CONNECTICUT	3
UTAH	6
MASSACHUSETTS	5
LOUISIANA	3
ARKANSAS	6
COLORADO	7
IOWA	6
IDAHO	6
SOUTH_CAROLINA	2
NEW_HAMPSHIRE	3
MISSOURI	8
MISSISSIPPI	4
TENNESSEE	8
NEW_MEXICO	5
FLORIDA	2
GEORGIA	5
MONTANA	4
OHIO	5
WISCONSIN	4
ARIZONA	5
MINNESOTA	5
SOUTH_DAKOTA	6
WYOMING	6
ALABAMA	4
NORTH_DAKOTA	3
DELAWARE	3
MAINE	1
NEW_YORK	6
OKLAHOMA	6
ILLINOIS	6
RHODE_ISLAND	3
CALIFORNIA	3
VIRGINIA	5
KENTUCKY	7
VERMONT	3
WEST_VIRGINIA	5
WASHINGTON	2
OREGON	4
INDIANA	4
PENNSYLVANIA	6
KANSAS	4
NEW_JERSEY	3
MICHIGAN	5
MARYLAND	4
NEVADA	5
NEBRASKA	6
